title,field_policy_number,field_definition,langcode,field_topics,field_goals,field_objectives,field_short_name,body
Theme A - Design Policy 11,11,Single loaded streets should be utilized in order to establish clear public access to neighborhood focal points.,en,"topic: Transportation, Greenspace, Health, Quality of Life, Community Facilities",A3:A4:B3:D1:D2,A1a:A1c:A2c:A2d:A3b:A4a:B2b:B2d:B3b:B3c:C1d:C2d:D2a:D2c:E1b,Utilize Single Loaded Streets,"Even passive greenspace requires clear, visible access in order to fulfill the needs of a neighborhood.  A focal point should be clearly delineated from private lots in order to be welcoming to all residents. Development of focal points on single loaded streets removes any opportunity for them to be tucked away unsafely in the backyards of private homes."
Theme A - Design Policy 12,12,Support neighborhood level commercial areas.,en,"topic: Housing, Transportation, Economic Development, Health, Quality of Life",A1:A2:A3:B2:C1:D1:D2:E1,A1a:A1b:A1d:A2a:A2b:A2d:A3a:A3b:B2d:C1a:C2a:C2d:D1a:D1b:E1a:E1b:E1d,Neighborhood Commercial,"In many neighborhoods developed decades ago, the commercial areas designated to serve as neighborhood focal points have become poorly utilized or have slowly deteriorated and need additional investment.  Proactively rezoning these sites from Neighborhood Business (B-1) to Commercial Center Zone (B-6P) would afford new flexibility at a neighborhood scale. Providing opportunities to increase residential density and professional/commercial intensity that could spur economic investment is an important step that the Government could take, using that opportunity to re-establish a new or better community focal point."
Theme A - Design Policy 13,13,Development should connect to adjacent stub streets and maximize the street network.,en,"topic: Transportation, Health",A3:B2:D1:D2,A3b:A4c:D1a:D1b:D1d:D2a:E1b,Connect to Stub Streets,"Connected streets provide direct, continuous routes and multiple route options. This reduces response times for emergency vehicles and improves access and efficiency for transit, school buses, and service vehicles, including solid waste trucks and street sweepers. Creating a robust street system with multiple routes to neighborhood destinations is unquestionably a best planning practice. Dispersing the traffic of an entire area onto multiple collector and local streets makes every street in a neighborhood desirable, and none too overburdened."
Theme A - Density Policy 1,1,The highest density of our residential development should be directed to our major corridors and downtown.,en,"topic: Housing, Transportation, Economic Development",A1:A2:A3:B2:D1:E1,A1a:A1b:A1d:A2a:A2b:A2d:B2a:B2c:B2d:C2d:D1a:D1b:D1c:E1a:E1b:E1c:E1d:E1e,High Density Corridors & Downtown,"Given Lexington’s ever-increasing population, the community’s expressed desire to create exciting walkable places, and the goal of preserving valuable agricultural land, density is very important.  However, high density development is not appropriate in every context.  As stressed within the “Design” vision and policies, density should address the context of its surroundings. Imagine Lexington intends to direct the highest density/intensity development to the major corridors and downtown area to bolster the viability of an enhanced transit service."
Theme A - Density Policy 2,2,Infill residential can and should aim to increase density while enhancing existing neighborhoods through context sensitive design.,en,"topic: Housing, Quality of Life",A1:A2:A3:B2:E1,A1b:A1c:A1d:A2a:A2b:A2c:A2d:A3a:A3b:B2b:C2d:D2a:E1a:E1b:E1d:E1e,Infill Residential & Context Sensitivity,"In areas where the preservation of existing neighborhood design characteristics is of high importance, infill residential should apply the recurring building patterns of the area. It is wholly possible to add residential units while matching the consistent rhythm of existing development, so that the new seamlessly blends in with the old. Significant contrasts in scale, massing and design should be minimized while attempting to not impact the density of a proposed development."
Theme A - Density Policy 3,3,"Create opportunities for additional neighborhood supportive uses, especially in areas where services are lacking.",en,"topic: Economic Development, Quality of Life",A1:A2:A3:C1:D1:D2:E1,A1a:A1b:A1c:A1d:A2a:A2b:A2d:A3a:A3b:C1a:C2a:C2b:C2d:D1a:D1b:E1b:E1d,Supportive Neighborhood Uses,"Ideal neighborhoods include not only a mix of housing types, but also a mix of uses, including neighborhood-serving businesses and opportunities for work and leisure.  Incorporating more of these uses into existing neighborhoods as well as new developments should be encouraged.  Not all commercial development proposals near residential neighborhoods should be considered supportive, but those that also respond to the “Design” and “Equity” policies, and provide a clear neighborhood need, can be."
Theme A - Density Policy 4,4,"Generally, locate high-density areas of development along higher capacity roadways (minor arterial, collector) to facilitate future transit enhancements.",en,"topic: Housing, Transportation, Economic Development",A1:A2:A3:B2:D1,A1a:A1b:A1c:A1d:A2a:A2b:A2d:A3a:A3b:B2c:B2d:C2a:C2d:D1a:D1b:D1c:E1b:E1d,Density to Support Transit,"This plan recommends that the highest density development should be concentrated toward the major corridors and downtown to facilitate transit-oriented development that would begin to support Bus Rapid Transit opportunities.  In a similar fashion, where high density apartment development occurs outside of those areas, it should be generally focused toward the minor arterials and collectors so that they can be more easily served by future transit service.  Additionally, reducing the number of automobile trips on local streets lowers associated infrastructure maintenance costs."
Theme A - Density Policy 5,5,Provide affordable and/or compact residential options through Accessory Dwelling Units.,en,topic: Housing,A1:A2:A3:B2:E1,A1a:A1b:A1c:A1d:A2a:A2b:A2d:A3a:A3b:B2a:C2d:E1a:E1b:E1d,Accessory Dwelling Units,"An Accessory Dwelling Unit (ADU) is defined as a second, smaller detached dwelling on the same property, or one that is attached to an existing single-family house, such as a basement or over-the-garage apartment.  As Lexington continues to grow, ADUs can play a role in meeting the overall housing demand. ADUs are not a new idea, and examples of them can be found throughout the United States. Old alley apartments in DC, or carriage houses in fine old Seattle homes, have been around for a long time, but they fell out of favor in the middle of the 20th century."
Theme A - Density Policy 6,6,Allow and encourage new compact single-family housing types.,en,topic: Housing,A1:A2:A3:B2:E1,A1a:A1b:A1c:A1d:A2a:A2b:A2d:A3a:A3b:B2a:C2d:E1a:E1b:E1d,Compact Single-Family Housing,"Lexington needs more housing of all types as its population continues to grow.  The 2017 Housing Demand Study shows that single-family residential options continue to be popular and will be for the foreseeable future.  However, the paradigm for providing these single-family homes is shifting from the larger suburban model lots to a more compact and urban form of single-family home, such as town-homes, fourplexes, and others. One way to provide for this type of development would be amending the regulations to allow group residential developments that include single-family housing."
Theme A - Equity Policy 1,1,Meet the demand for housing across all income levels.,en,"topic: Housing, Quality of Life",A1:A2,A1a:A1b:A1d:A2a:A2d:C2d:E1b,Housing for All Income Levels,"This Comprehensive Plan does not seek to be antagonistic toward growth and new residential development; on the contrary, continued growth is vitally important and Lexington should encourage intense (re)development in the most appropriate areas to provide housing for all.  Lexington must provide overall housing affordability, primarily through an abundant supply of new construction that puts a downward pressure on rents of existing units."
Theme A - Equity Policy 2,2,"Provide affordable housing across all areas, affirmatively furthering fair housing, complying with HUD guidance.",en,"topic: Housing, Quality of Life",A1:C2,A1d:A2d:C2d:E1b,Affordable Fair Housing,"According to the Department of Housing and Urban Development, Affirmatively Furthering Fair Housing (AFFH) is a legal requirement that federal agencies and federal grantees further the purposes of the Fair Housing Act. HUD's AFFH rule provides an effective planning approach to aid program participants in taking meaningful actions to overcome historic patterns of segregation, promote fair housing choice, and foster inclusive communities that are free from discrimination."
Theme A - Equity Policy 3,3,Add residential opportunities by proactively up-zoning areas near transit for populations who rely solely on public transportation.,en,"topic: Housing, Transportation, Economic Development, Quality of Life",A1:A2:A3:B2:D1,A1a:A1b:A1d:A2a:A2d:B2c:B2d:C2a:C2d:D1a:D1b:D1c:E1b:E1c,Up-Zone near Transit,"In transit opportunity areas identified in subsequent corridor studies, the government should consider up-zoning properties to allow and encourage more intense uses that support transit.  Where neighborhoods already exist along these corridors, appropriate transitions and step-downs should be used, but should not otherwise deter development of additional housing.  To avoid adverse effects on low and medium density neighborhoods, transit-oriented development should be accommodated as much as possible on commercially zoned land along major arterials.  B-6P zoning should be considered along these major arterials."
Theme A - Equity Policy 4,4,"Preserve and enhance existing affordable housing through the land bank, community land trust and vacant land commission.",en,"topic: Housing, Quality of Life",A1:A2:C2,A1a:A1c:A1d:A2d:A3b:E1b,"Land Bank, Community Land Trust, Vacant Land Commission",Previous Comprehensive Plans laid the groundwork for the currently existing program infrastructure to serve our affordable housing needs.  Subsequent steps need to address the ongoing funding and identify methods for making sure these programs reach the critical mass of assets needed to become self-sufficient.
Theme A - Equity Policy 5,5,Protect affordable housing tenants through improved code enforcement policies.,en,"topic: Housing, Quality of Life",C2,A1a:A1c:A1d:A2d:A3a:A3b:E1b,Improve Code Enforcement Policies,"A rental property registration program to proactively address substandard housing conditions would help alleviate the current culture where residents are wary of contacting Code Enforcement to report violations for fear that they may lose the roof over their head.  Louisville, Covington, and Erlanger have all taken this proactive approach to this serious issue. The goal of this approach is to identify problem properties and utilize random inspections to keep landlords from delaying maintenance or poorly managing their units."
Theme A - Equity Policy 6,6,Provide flexibility for senior housing through Accessory Dwelling Units.,en,"topic: Housing, Quality of Life",A1:A2:A3,A1a:A1b:A1c:A1d:A2a:A2b:A2d:A3a:A3b:E1b,Senior Housing though ADUs,"Accessory Dwelling Units (ADUs) provide significant opportunities for older residents to age in place.  They allow them to retain their properties through subsidizing their incomes with rental revenue, while they continue to inhabit the property.  When attempting to address the senior housing need in Lexington, it is important to provide a myriad of opportunities, allowing a variety of solutions.  ADUs will inevitably provide a small percentage of the needed units; but for many who take advantage of them, it could be the difference between staying in their homes, and having to sell them."
Theme A - Equity Policy 7,7,Community facilities should be well integrated into their respective neighborhoods.,en,"topic: Greenspace, Health, Quality of Life, Community Facilities",A3:A4:B2:D1:D2,A1a:A2c:A3a:A3b:A4a:A4b:B2b:C2d:D1a:D1b:D2b:D2c:E1b,Integrated Community Facilities,"School sites should be appropriately sized for the needs of the community and designed to be an integral part of the community, rather than sequestered and closed off.  Ensuring neighborhood access to these sites is important, so they can act as community-building entities.
 
HEALTHCARE, SOCIAL SERVICES
Neighborhood-level healthcare and social service options are important, especially for areas where there is a low level of automobile ownership.  "
Theme A - Equity Policy 8,8,Housing developments should implement Universal Design principles on a portion of their units.,en,"topic: Housing, Quality of Life",A1:A3:D2,A1a:A1b:A1c:A2d:A3b:C2d:E1b,Universal Design Principles,"In order to support aging in place and recognize the increasing senior housing need, Universal Design principles should be incorporated into neighborhood developments where possible. Seven principles were developed by a diverse group of professional designers to create environments that are easily accessible, understood, and used by as many people as possible. Additionally, the creation of an age-friendly development plan should be explored in order to address inequities in both public and private facilities and to raise awareness about the opportunities to improve."
Theme B - Protection Policy 1,1,Continue the Sanitary Sewer Capacity Assurance Program (CAP) and encourage the Stormwater Incentive Grant program to reduce impacts of development on water quality.,en,"topic: Health, Community Facilities",B1,E1b,Stormwater Incentive Grant & CAP,"LFUCG Division of Water Quality oversees the storm sewer system of over 800 miles of underground pipelines; 50,000 structures; and over 1,000 wet ponds and detention basins; the sanitary sewer system of over 1,400 miles of underground pipelines; and 28,000 manholes, with nearly 80 pumping stations conveying sewage throughout the Urban Service Area. There are two treatment plants capable of treating over 60 million gallons of sewage each day."
Theme B - Protection Policy 2,2,"Conserve environmentally sensitive areas, including significant natural habitats, wetlands and water bodies.",en,"topic: Agriculture, Greenspace",B3:D3:E2,A3c:A3d:B3b:E1b:E2a:E2b,Conserve Environmentally Sensitive Areas,"Protecting significant natural habitats, within the Rural Service Area and within the Urban Service Area where feasible, maintains biodiversity and protects habitat, native biota, and wildlife corridors.  Linking greenways, tree protection areas, stream corridors, stream conservation greenways, and/or significant tree canopies allows wildlife and flora to travel and thrive in a more ecologically diverse environment in both the Rural Service Area and the Urban Service Area, where feasible."
Theme B - Protection Policy 3,3,Continue to implement PDR program to safeguard Lexington’s rural land.,en,"topic: Agriculture, Greenspace",D3:E1,B2b:B3b:B3d:C1d:E1b:E2a:E2b,PDR Program to Safeguard Rural Land,"As outlined in the 2017 Rural Land Management Plan, Lexington has had a long history of taking positive action to ensure the community’s rural heritage is preserved from unmanaged suburban sprawl. In 1958, the Urban Service Area Boundary was created to manage development, and has become a pioneering landmark for planning across the nation. In 2000, the Purchase of Development Rights Ordinance was adopted. As of August 25, 2017, there were 28,953 acres of farmland in Fayette County preserved in perpetuity by PDR, and another 1,257 acres under contract."
Theme B - Protection Policy 4,4,Conserve active agriculture land in the Rural Service Area while promoting a creative food chain network.,en,"topic: Economic Development, Agriculture, Health, Quality of Life",D3:E1:E2,B2b:B3b:C1b:E1b:E2a:E2b,Conserve Active Agriculture,"In 2012, Fayette County had 718 farm operations on 114,857 acres, which represented 63.3% of total county land. In comparison, Kentucky’s farm operations made up 51.6% of the state’s total land area, and U.S. farm operations made up 40.5% of total land area in the country. The percentage of total farm acres used for cropland is 35.1%; the remaining acreage is mostly horse farms. The 2017 Rural Land Management Plan listed 90,774 acres in 1,080 parcels in Agricultural Use in the Rural Service Area, and the Fayette County PVA assessed 1,736 properties in the Rural Service Area as agriculture or “farms.”"
Theme B - Protection Policy 5,5,Promote and connect local farms with the community through integrated partnerships.,en,"topic: Economic Development, Agriculture, Greenspace, Health, Quality of Life",E2,B2b:B3d:C1b,Connect Farms to Community,"Bluegrass Farm-to-Table was founded in 2015 with a mission to promote the development of a more vibrant local food economy by supporting food-related agricultural development. It has 21 partners including the government, universities, schools, farms, private entities throughout the community. Supporting the local food system has important implications for consumers, farmers, food-related businesses and entrepreneurs, and the community as a whole."
Theme B - Protection Policy 6,6,Promote context- sensitive agritourism in the Rural Service Area.,en,"topic: Economic Development, Agriculture, Quality of Life",D3:E2,B2b:C1b:C1d:C2a:E2a,Rural Service Area Agritourism,"The 2017 Rural Land Management Plan has a thorough summary of the recent tourism developments in the rural service area. Year after year, visitors surveyed by VisitLEX say that they come to the Bluegrass for the horses, landscape and bourbon. The two major attractions, which draw more than a million visitors a year to the Rural Service Area, are the Kentucky Horse Park and Keeneland. There are numerous for-profit tour companies and Horse Country, a non-profit coalition of farms that provide visitors from all over the world with access to these destinations."
Theme B - Protection Policy 7,7,"Protect sensitive natural habitats and wildlife in the Urban Service Area, protect the urban forest, and significant tree canopies in crucial ecological networks.",en,"topic: Greenspace, Health",B3,A2c:A3c:A3d:B3b,Protect Natural Urban Areas,"Enhancing and strengthening the current Planning process to increase protection and responsible development when environmentally sensitive areas and/or trees are involved would help increase protection of tree stands, rare trees, natural habitats and wildlife within the urban service area in appropriate areas.  The Urban Service Area concept uses land wisely for development while protecting valuable soils and farms in the Rural Service Area."
Theme B - Protection Policy 8,8,Integrate the Greenspace Plan into urban and rural area.,en,"topic: Agriculture, Greenspace, Quality of Life",B3:D3:E2,A2c:A3c:A3d:B3a:B3b:B3c:B3d:C2d:D1b:E1b:E2a:E2b,Greenspace Plan,"Availability and accessibility of greenspace is essential for human growth and development. As suggested in the 1994 Greenspace Plan, the benefits of creating a comprehensive greenspace system go far beyond leisure and aesthetics, and are fundamental to the future economy and quality of the environment of this community and the entire Bluegrass Region. Protecting our remaining greenspace is not a luxury; it is a necessity for maintaining the quality of life that Bluegrass residents have always enjoyed and will continue to desire for the future."
Theme B - Protection Policy 9,9,"Respect the geographic context of natural land, encourage development to protect steep slope; and locate building structures to reduce unnecessary earth disruption.",en,topic: Greenspace,,A2b:A3c:B2c:B3a:B3b:E1b,Natural Land Geographic Context,"Lexington’s Zoning Ordinance (Subdivision Regulations Section 6-11) requires developers to evaluate a site’s geographic and topographic characteristics, including steep slopes and sinkholes, as part of the development planning process. New development is recommended to study the site’s geographic context in contours and watershed distributions before making master plans. Extensive disturbance to earth with man-made grading for building structures has proven to be harmful to the environment, with the potential to force adjacent areas to be disturbed in a domino effect."
Theme B - Protection Policy 10,10,Install iconic rural fencelines around major greenways and creeks to enhance their natural beauty.,en,"topic: Greenspace, Quality of Life",B3:D3:E2,C1b:C2d:E2a,Iconic Rural Fencelines,"As Horse Capital of the World, horse farm style plank fences have become part of the cultural landscape of the Lexington Bluegrass region. Large portions of the major greenways are owned and maintained by LFUCG, and efforts should be expanded to incorporate horse farm style plank fences. The public should also explore partnership opportunities for other privately managed greenway areas to maintain Lexington’s identity."
Theme B - Sustainability Policy 1,1,Develop a multi-modal transportation network and infrastructure; seek collaboration with regional transit partners for the commuting public.,en,"topic: Transportation, Health",B2:D1:D2:F3,A3b:A4a:A4b:A4c:B2d:D1a:D1b:D1c:D1d:E1b:F3a:F3b,Regional multimodal Transportation,"When people decide how to get from one point to another, it is very important to provide them safe and competitive options. According to walkscore.com, Lexington has an average walk score of 34, indicating a community car-dependent, where most errands require a car; a transit score of 25, demonstrating that only a few nearby public transportation options exist; and a bike score of 44, which is the falls within the lowest range, meaning Lexington is only somewhat bikeable, with minimal bike infrastructure."
Theme B - Sustainability Policy 2,2,"Promote roadway, pedestrian and bicycle connectivity.",en,"topic: Transportation, Health",B2:D1:D2,A3b:A4a:A4b:A4c:B2d:D1a:D1b:D1c:E1b,Promote Transit Connectivity,"Development is encouraged to locate near high connectivity areas with connected street networks and diverse community uses (Infill and Redevelopment Area), so that the adjacent amenities can be fully utilized and supported by customers. Within developments, projects should be designed and built such that internal connectivity is maximized, balancing the geographic terrain. Connected street networks have proven benefits to reduce the environmental and public health consequences of sprawl; reduce development pressure beyond the limits of existing development; and conserve the natural and financial resources required for infrastructure."
Theme B - Sustainability Policy 3,3,"Encourage Transit-Oriented Development, increase density along major corridors and in the Infill and Redevelopment Area to support transit ridership, thus reducing vehicle miles traveled (VMT).",en,"topic: Housing, Transportation, Economic Development, Health",A1:A2:B2:D1:E1,A1a:A1b:A1c:A1d:A2a:B2c:B2d:C2a:D1a:D1b:D1c:E1b:E1c:E1d,Transit-Oriented Development,"Transit-Oriented Development (TOD) refers to communities with high quality public transit services, good walkability, and compact, mixed land use. This type of development allows people to choose the best option for each trip: walking and cycling for local errands, convenient and comfortable public transit for travel along major urban corridors, and automobile travel to more dispersed destinations. People who live and work in such communities tend to own fewer vehicles, drive less, and rely more on alternative modes."
Theme B - Sustainability Policy 4,4,"Make recommendations to locate new development within walking distance of existing greenspace / community centers, or create greenspace / community centers within walking distance of residential uses.",en,"topic: Housing, Greenspace, Health, Quality of Life, Community Facilities",A3:A4:B3:D1:D2,A1a:A2c:A3b:A3c:A3d:A4a:A4b:B2b:B3b:C2d:D1a:D2b:D2c:E1b,Accessible Greenspace,"Development should provide greenspace or other community gathering spaces within walking distance of residents, especially if these amenities are not otherwise provided. Strategic and walkable placement of amenities and greenspace is important as it provides for a high quality of life, but also because it reduces the vehicle miles traveled. Additionally, it helps lessen incidences of obesity, heart disease, and hypertension by encouraging daily physical activity associated with walking and biking."
Theme B - Sustainability Policy 5,5,"Reduce / discourage vehicle oriented development patterns, such as drive-through businesses within the Urban Service Boundary, especially in the urban core areas. Reduce parking footprints.",en,"topic: Transportation, Health",A3:B2:E1,B2d:E1b:E1c:E1d,Reduce Vehicle Oriented Development,"Vehicle idling for more than 10 seconds uses more fuel and produces more CO2 compared to restarting the engine. Countries around the world are concerned with the impact of transportation on the environment and human health. Messages to reduce unnecessary idling are therefore a key component of many national sustainability programs. In Europe, the recommended guidelines for turning engines off are 10 seconds in Italy and France; 20 seconds in Austria; 40 seconds in Germany; and 60 seconds in the Netherlands."
Theme B - Sustainability Policy 6,6,"Apply traffic mitigation programs, such as communication with employers to encourage flexible work schedules or telecommuting.",en,"topic: Transportation, Economic Development, Health",B2:D1,B2a:C1a:C2a:C2b:D1d:E1b,Telecommuting & Flexible Work,"Traffic creates headaches for commuters. At the same time, it generates more air pollution than drivers may realize. However, improving available technology and sustainable initiatives by corporations, such as telecommuting and flexible work schedules away from rush hour, have come into play in many areas. The MPO is working on multiple plans to mitigate potential increasing congestions in the Lexington region."
Theme B - Sustainability Policy 7,7,"Continue and expand energy efficiency initiatives, promote energy efficient buildings by supporting grants and public recognition.",en,topic: Health,A3:B3:D2,A1a:A2d:B2a:B2c:E1b,Promote Energy Efficiency,"LFUCG Energy Initiatives work closely with divisions across government to implement the city’s Energy Management Plan, which was established in 2004 to reduce consumption of utility and fuel resources, promote conservation, and realize cost savings. Energy efficiency criteria is used to guide purchasing decisions in new buildings, repairs and retrofits. Account-by-account rate analysis has identified less expensive options for many utility accounts, saving taxpayer dollars."
Theme B - Sustainability Policy 8,8,Encourage Lexington to join the STAR Community rating program.,en,"topic: Housing, Transportation, Economic Development, Agriculture, Greenspace, Health, Quality of Life, Community Facilities",A1:A2:A3:A4:B1:B2:B3:C1:C2:C3:D1:D2:D3:D4:E1:E2:E3:E4:F1:F2:F3,A1a:A1b:A1c:A1d:A2a:A2b:A2c:A2d:A2e:A3a:A3b:A3c:A3d:A4a:A4b:A4c:B2a:B2b:B2c:B2d:B3a:B3b:B3c:B3d:C1a:C1b:C1c:C1d:C1e:C2a:C2b:C2c:C2d:D1a:D1b:D1c:D1d:D2a:D2b:D2c:D3a:D3b:D3c:E1a:E1b:E1c:E1d:E1e:E2a:E2b:E4a:E4b:E4c:E4d:F1a:F1b:F1c:F1d:F2a:F2b:F2c:F3a:F3b,STAR Community Rating Program,"STAR Communities is a nonprofit organization that works to evaluate, improve, and certify sustainable communities. They administer the STAR Community Rating System (STAR), the nation’s first framework and certification program for local sustainability. Cities and counties use STAR to measure their progress across social, economic and environmental performance areas. Louisville entered the Star Community program and has gained a 4-star rating with measurable and informative improvement potential."
Theme B - Sustainability Policy 9,9,Develop and proactively share educational materials and programs to increase public awareness of energy efficiency benefits and services.,en,topic: Health,A3:B2:B3:F1,B2a:B2b:B2c:B3a:B3c:E1b:F1a:F1b:F1c:F1d:F2b,Increase Awareness of Energy Efficiency,"Materials should provide a consistent message about sustainable practices and be tailored to each individual audience’s needs, such as school students, workplaces, realtors, appraisers, contractors, designers, architects, engineers, etc. The bottom line is emphasizing the cost-saving effects for energy efficiency in a life-cycle scheme, which also puts less pressure to the environment. The more that people familiarize themselves with energy efficiency and conservation programs, the more likely they will implement the recommendations."
Theme B - Sustainability Policy 10,10,Enhance Lexington’s recycling and waste management programs.,en,"topic: Health, Community Facilities",A3:B2:B3:F1,B3d:E1b:F1a,Recycling & Waste Management,"Lexington is serviced both by a municipal waste management program, as well as private haulers.  The City of Lexington has a fully functioning municipal recycling facility (MRF) to sort recycled waste and separate it with machines, compared to some adjacent counties. The City also holds many special events throughout the year to assist citizens in waste disposal and other needs, such as household hazardous waste, paper shredding, the “Gobble Grease Toss” and mulch giveaways. Lexington also has a composting program for residential yard waste."
