title,body,langcode,field_goals
C2b,Improve opportunities for small business development and workers who rely on personal technology.,en,C2
C2c,Review and improve regulations and policies that attract and retain high paying jobs through close collaboration with agencies that focus on economic development.,en,C2
C2d,"Provide entertainment and other quality of life opportunities that attract young, and culturally diverse professionals, and a work force of all ages and talents to Lexington.",en,C2
D1a,"Support the Complete Streets concept, prioritizing a pedestrian-first design that also accommodates the needs of bicycle, transit and other vehicles.",en,D1
D1b,"Develop a viable network of accessible transportation alternatives for residents and commuters, which may include the use of mass transit, bicycles, walkways, ridesharing, greenways and other strategies.",en,D1
D1c,"Concentrate efforts to enhance mass transit along our corridors in order to facilitate better service for our growing population, as well as efficiencies in our transit system.",en,D1
D1d,Improve traffic operation strategies.,en,D1
D2a,Encourage public safety and social sustainability by supporting Secured-by-Design concepts and other policies and programs for the built and natural environments of neighborhoods to help reduce opportunities for crimes.,en,D2
D2b,Collaborate with educational and healthcare entities to meet the needs of Lexington-Fayette County's residents and visitors.,en,D2
D2c,Collaborate with service providers about how their community facilities should enhance existing neighborhoods.,en,D2
D3a,Protect historic resources and archaeological sites.,en,D3
D3b,"Incentivize the renovation, restoration, development and maintenance of historic residential and commercial structures.",en,D3
D3c,"Develop incentives to retain, restore, preserve and continue use of historic site and structures, rural settlements and urban and rural neighborhoods.",en,D3
E1a,Continue to monitor the absorption of vacant and underutilized land within the Urban Service Area.,en,E1
E1b,"Ensure all types of development are environmentally, economically, and socially sustainable to accommodate the future growth needs of all residents while safeguarding rural land.",en,E1
E1c,Emphasize redevelopment of underutilized corridors.,en,E1
E1d,Maximize development on vacant land within the Urban Service Area and promote redevelopment of underutilized land in a manner that enhances existing urban form and/or historic features.,en,E1
E1e,Pursue strategies to activate large undeveloped landholdings within the Urban Service Area.,en,E1
E2a,"Protect and enhance the natural, cultural, historic and environmental resources of Lexington-Fayette County's Rural Service Area and Bluegrass farmland to help promote the general agricultural brand and ensure Lexington-Fayette County remains the Horse Capital of the World.",en,E2
E2b,"Support the Purchase of Development Rights and private sector farmland conservation programs to protect, preserve and enhance our signature agricultural industries, historic structures, cultural landscapes, natural environments and community welfare.",en,E2
E4a," Establish the process via a study, involving diverse stakeholders and constituents, that meets the projected needs of the agricultural and development communities, by preserving key agricultural resources from development pressures and identifying land for future urban development.",en,E4
E4b,"Ensure the study designates rural land for long-term preservation, identifies land for potential future urban development and specifies triggers, thresholds and timing for the addition of the identified urban land into the Urban Service Boundary, keeping infill and land use efficiency as the continued primary objectives.",en,E4
E4c,"Complete the study with the assistance of a consultant by July 1, 2020.",en,E4
E4d,"Implement the process resulting from the study as an amendment to the Comprehensive Plan, superseding Theme E, Goal 3 at time of adoption by the Planning Commission.",en,E4
F1a," Pursue all venue of communication, including, but not limited to, electronic and social media to involve residents.",en,F1
F1b,Establish early and continuous communication with residents.,en,F1
F1c,Develop a network of diverse contacts and a means to engage them.,en,F1
F1d,Build on the On the Table initiative and continue to engage in partnerships with community organizations to reach underrepresented populations.,en,F1
F2a,Establish a continually updated series of metrics to mark progress implementing the 2018 Comprehensive Plan.,en,F2
F2b,"Create a website to host the metrics, updating the general public on progress while providing transparency and supporting data.",en,F2
F2c,"Develop criteria, based upon the goals and objectives, to guide zone map amendment decisions.",en,F2
F3a,Set the standard through leadership and engagement to identify and resolve regional issues.,en,F3
F3b,"Support legislative efforts and cross-border actions that improve regional planning, including, but not limited to, developing regional policies; sharing information; and planning for regional systems of transportation, open space, water supply and infrastructure.",en,F3
