title,field_policy_number,field_definition,langcode,field_topics,field_goals,field_objectives,field_short_name,body,field_bulleted_list,field_rural_development
Theme A - Design Policy 11,11,Single loaded streets should be utilized in order to establish clear public access to neighborhood focal points.,en,"topic: Transportation, Greenspace, Health, Quality of Life, Community Facilities",A3:A4:B3:D1:D2,A1a:A1c:A2c:A2d:A3b:A4a:B2b:B2d:B3b:B3c:C1d:C2d:D2a:D2c:E1b,Utilize Single Loaded Streets,"Even passive greenspace requires clear, visible access in order to fulfill the needs of a neighborhood.  A focal point should be clearly delineated from private lots in order to be welcoming to all residents. Development of focal points on single loaded streets removes any opportunity for them to be tucked away unsafely in the backyards of private homes.",,Off
Theme A - Design Policy 12,12,Support neighborhood level commercial areas.,en,"topic: Housing, Transportation, Economic Development, Health, Quality of Life",A1:A2:A3:B2:C1:D1:D2:E1,A1a:A1b:A1d:A2a:A2b:A2d:A3a:A3b:B2d:C1a:C2a:C2d:D1a:D1b:E1a:E1b:E1d,Neighborhood Commercial,"In many neighborhoods developed decades ago, the commercial areas designated to serve as neighborhood focal points have become poorly utilized or have slowly deteriorated and need additional investment.  Proactively rezoning these sites from Neighborhood Business (B-1) to Commercial Center Zone (B-6P) would afford new flexibility at a neighborhood scale. Providing opportunities to increase residential density and professional/commercial intensity that could spur economic investment is an important step that the Government could take, using that opportunity to re-establish a new or better community focal point. 

Providing better multi modal access integration for all commercial developments from adjacent neighborhoods can transform underutilized properties into continually active areas, becoming the neighborhood focal points that their communities need them to be, while also creating better access to goods and services for residents.",Amend Zoning Ordinance to encourage residential development within existing neighborhood serving business districts.,Off
Theme A - Design Policy 13,13,Development should connect to adjacent stub streets and maximize the street network.,en,"topic: Transportation, Health",A3:B2:D1:D2,A3b:A4c:D1a:D1b:D1d:D2a:E1b,Connect to Stub Streets,"Connected streets provide direct, continuous routes and multiple route options. This reduces response times for emergency vehicles and improves access and efficiency for transit, school buses, and service vehicles, including solid waste trucks and street sweepers. Creating a robust street system with multiple routes to neighborhood destinations is unquestionably a best planning practice. Dispersing the traffic of an entire area onto multiple collector and local streets makes every street in a neighborhood desirable, and none too overburdened.

Stub streets are closed-end streets that do not contribute to the critical connectivity described above. Stub streets are similar to cul-de-sacs except that they provide no turnaround circle at their closed end, and they are only acceptable as a temporary street condition. Planning staff will undertake additional revisions to the subdivision regulations to require signage at all stub streets to alert neighborhood residents that future roadway connections will be made, and how they may discuss the timing and impacts with staff.",,Off
Theme A - Density Policy 1,1,The highest density of our residential development should be directed to our major corridors and downtown.,en,"topic: Housing, Transportation, Economic Development",A1:A2:A3:B2:D1:E1,A1a:A1b:A1d:A2a:A2b:A2d:B2a:B2c:B2d:C2d:D1a:D1b:D1c:E1a:E1b:E1c:E1d:E1e,High Density Corridors & Downtown,"Given Lexington’s ever-increasing population, the community’s expressed desire to create exciting walkable places, and the goal of preserving valuable agricultural land, density is very important.  However, high density development is not appropriate in every context.  As stressed within the “Design” vision and policies, density should address the context of its surroundings.   

Imagine Lexington intends to direct the highest density/intensity development to the major corridors and downtown area to bolster the viability of an enhanced transit service.  Doing so also ensures that the bulk of the highest density residential development occurs outside of existing thriving neighborhoods.  Where corridor development and thriving neighborhoods merge, transitions and step-downs should mitigate intrusion.  Corridor development should also include multimodal connections to adjacent developments and neighborhoods, incorporating them into the context of the neighborhood. ",,Off
Theme A - Density Policy 2,2,Infill residential can and should aim to increase density while enhancing existing neighborhoods through context sensitive design.,en,"topic: Housing, Quality of Life",A1:A2:A3:B2:E1,A1b:A1c:A1d:A2a:A2b:A2c:A2d:A3a:A3b:B2b:C2d:D2a:E1a:E1b:E1d:E1e,Infill Residential & Context Sensitivity,"In areas where the preservation of existing neighborhood design characteristics is of high importance, infill residential should apply the recurring building patterns of the area. It is wholly possible to add residential units while matching the consistent rhythm of existing development, so that the new seamlessly blends in with the old. Significant contrasts in scale, massing and design should be minimized while attempting to not impact the density of a proposed development.",Evaluate and amend residential zones to allow greater housing opportunities.,Off
Theme A - Density Policy 3,3,"Create opportunities for additional neighborhood supportive uses, especially in areas where services are lacking.",en,"topic: Economic Development, Quality of Life",A1:A2:A3:C1:D1:D2:E1,A1a:A1b:A1c:A1d:A2a:A2b:A2d:A3a:A3b:C1a:C2a:C2b:C2d:D1a:D1b:E1b:E1d,Supportive Neighborhood Uses,"Ideal neighborhoods include not only a mix of housing types, but also a mix of uses, including neighborhood-serving businesses and opportunities for work and leisure.  Incorporating more of these uses into existing neighborhoods as well as new developments should be encouraged.  Not all commercial development proposals near residential neighborhoods should be considered supportive, but those that also respond to the “Design” and “Equity” policies, and provide a clear neighborhood need, can be.  Additionally, commercial development near residential neighborhoods should not be rejected because it might generate activity near that neighborhood.  Vibrant neighborhoods include a range of uses.
Previous efforts to grow neighborhood-scale commercial areas came at a time when traditional anchor retailers were continually closing smaller stores to concentrate their efforts on larger big-box style footprints in higher traffic areas.  Competition among retailers nationally meant that scale was the driving factor, and neighborhood business zones were no longer suitable for their needs.  The loss of anchor tenants reduced the overall viability of the commercial spaces.  Given the shifting nature of retail in an e-commerce era, businesses must re-imagine the way they are meeting the needs of the neighborhood. 

Today’s successful neighborhood commercial has a much stronger sense of place, where residents of the area prioritize convenience over cost.  Restaurants, personal services, and boutique shopping with integrated community social spaces are the hallmarks of successful small-scale commercial areas like Romany Road and the ever-evolving Southland Drive.  Redevelopment of existing commercial centers should focus primarily on creating a space for people to spend time, and smaller spaces for people to shop and work.  Including new residential units can in turn complement the space and provide a transition to the surrounding neighborhood.",Perform gap analysis of existing neighborhoods to identify enhancement opportunities for new supportive uses.,Off
Theme A - Density Policy 4,4,"Generally, locate high-density areas of development along higher capacity roadways (minor arterial, collector) to facilitate future transit enhancements.",en,"topic: Housing, Transportation, Economic Development",A1:A2:A3:B2:D1,A1a:A1b:A1c:A1d:A2a:A2b:A2d:A3a:A3b:B2c:B2d:C2a:C2d:D1a:D1b:D1c:E1b:E1d,Density to Support Transit,"This plan recommends that the highest density development should be concentrated toward the major corridors and downtown to facilitate transit-oriented development that would begin to support Bus Rapid Transit opportunities.  In a similar fashion, where high density apartment development occurs outside of those areas, it should be generally focused toward the minor arterials and collectors so that they can be more easily served by future transit service.  Additionally, reducing the number of automobile trips on local streets lowers associated infrastructure maintenance costs.  As most parks and schools are located on collector streets and minor arterials, this places the higher density units, which lack private open space, closer to community gathering places.",,Off
Theme A - Density Policy 5,5,Provide affordable and/or compact residential options through Accessory Dwelling Units.,en,topic: Housing,A1:A2:A3:B2:E1,A1a:A1b:A1c:A1d:A2a:A2b:A2d:A3a:A3b:B2a:C2d:E1a:E1b:E1d,Accessory Dwelling Units,"An Accessory Dwelling Unit (ADU) is defined as a second, smaller detached dwelling on the same property, or one that is attached to an existing single-family house, such as a basement or over-the-garage apartment.  As Lexington continues to grow, ADUs can play a role in meeting the overall housing demand.

ADUs are not a new idea, and examples of them can be found throughout the United States. Old alley apartments in DC, or carriage houses in fine old Seattle homes, have been around for a long time, but they fell out of favor in the middle of the 20th century.  Now they are an increasingly popular and important housing option in urbanizing cities today. Where Lexington has traditionally had a significant portion of its development controlled by a handful of developer/builders, ADUs essentially create a whole new market (a ‘cottage’ industry, if you will) for small builders to construct a housing product the community needs. There is tremendous opportunity to enhance existing neighborhoods by building new context sensitive ADUs. In areas where property values have increased dramatically and tear-down/rebuilds have started to shift the appearance of the neighborhood, the creation of an accessory dwelling unit could make retention of an existing principal structure more economically viable.  Cities and neighborhoods are always changing and evolving. They are either improving or declining. Enhancing existing neighborhoods means not preserving them exactly as they have always been; rather, steering their evolution in a way that benefits those residents, while making it accessible to as many people as possible.",,Off
Theme A - Density Policy 6,6,Allow and encourage new compact single-family housing types.,en,topic: Housing,A1:A2:A3:B2:E1,A1a:A1b:A1c:A1d:A2a:A2b:A2d:A3a:A3b:B2a:C2d:E1a:E1b:E1d,Compact Single-Family Housing,"Lexington needs more housing of all types as its population continues to grow.  The 2017 Housing Demand Study shows that single-family residential options continue to be popular and will be for the foreseeable future.  However, the paradigm for providing these single-family homes is shifting from the larger suburban model lots to a more compact and urban form of single-family home, such as town-homes, fourplexes, and others.

One way to provide for this type of development would be amending the regulations to allow group residential developments that include single-family housing.  This compact type of development allows for shared common space and reduced maintenance, which are ideal for the senior and young-professional aged populations.  Compact lots mean less time and money for maintenance, more opportunities for social interactions in shared open spaces, more economic efficiency for infrastructure services, and safer neighborhoods.  Other innovative and new solutions that incorporate efficiently designed single-family housing as a component of an overall development should be explored as well.",,Off
Theme A - Equity Policy 1,1,Meet the demand for housing across all income levels.,en,"topic: Housing, Quality of Life",A1:A2,A1a:A1b:A1d:A2a:A2d:C2d:E1b,Housing for All Income Levels,"This Comprehensive Plan does not seek to be antagonistic toward growth and new residential development; on the contrary, continued growth is vitally important and Lexington should encourage intense (re)development in the most appropriate areas to provide housing for all.  Lexington must provide overall housing affordability, primarily through an abundant supply of new construction that puts a downward pressure on rents of existing units. Imagine Lexington implementation calls for a top-down review of the Zoning Ordinance and Subdivision Regulations in an attempt to create new housing opportunities, as well as to streamline permitting and review processes.  This process began in 2017 with the amendments to the Planning Shopping Center (B-6P) zone, as well as changes to how Final Record Plats are reviewed.",,Off
Theme A - Equity Policy 2,2,"Provide affordable housing across all areas, affirmatively furthering fair housing, complying with HUD guidance.",en,"topic: Housing, Quality of Life",A1:C2,A1d:A2d:C2d:E1b,Affordable Fair Housing,"According to the Department of Housing and Urban Development, Affirmatively Furthering Fair Housing (AFFH) is a legal requirement that federal agencies and federal grantees further the purposes of the Fair Housing Act. HUD's AFFH rule provides an effective planning approach to aid program participants in taking meaningful actions to overcome historic patterns of segregation, promote fair housing choice, and foster inclusive communities that are free from discrimination. Specifically, affirmatively furthering fair housing means taking meaningful actions that, taken together, address significant disparities in housing needs and in access to opportunity, replacing segregated living patterns with truly integrated and balanced living patterns, transforming racially and ethnically concentrated areas of poverty into areas of opportunity, and fostering and maintaining compliance with civil rights and fair housing laws. The duty to affirmatively further fair housing extends to all housing and urban development activities and programs.

Specifically, Lexington will seek to promote affordable housing throughout the community.  Access to safe, affordable housing should exist in all neighborhoods. However, this plan shall also continue to support significant investment in existing low-income areas so as not to shut out distressed areas from further public investment or speed up the economic displacement of low-income residents due to traditional market forces.",Review funding opportunities for Comprehensive Plan priorities.,Off
Theme A - Equity Policy 3,3,Add residential opportunities by proactively up-zoning areas near transit for populations who rely solely on public transportation.,en,"topic: Housing, Transportation, Economic Development, Quality of Life",A1:A2:A3:B2:D1,A1a:A1b:A1d:A2a:A2d:B2c:B2d:C2a:C2d:D1a:D1b:D1c:E1b:E1c,Up-Zone near Transit,"In transit opportunity areas identified in subsequent corridor studies, the government should consider up-zoning properties to allow and encourage more intense uses that support transit.  Where neighborhoods already exist along these corridors, appropriate transitions and step-downs should be used, but should not otherwise deter development of additional housing.  To avoid adverse effects on low and medium density neighborhoods, transit-oriented development should be accommodated as much as possible on commercially zoned land along major arterials.  B-6P zoning should be considered along these major arterials.",,Off
Theme A - Equity Policy 4,4,"Preserve and enhance existing affordable housing through the land bank, community land trust and vacant land commission.",en,"topic: Housing, Quality of Life",A1:A2:C2,A1a:A1c:A1d:A2d:A3b:E1b,"Land Bank, Community Land Trust, Vacant Land Commission",Previous Comprehensive Plans laid the groundwork for the currently existing program infrastructure to serve our affordable housing needs.  Subsequent steps need to address the ongoing funding and identify methods for making sure these programs reach the critical mass of assets needed to become self-sufficient.,,Off
Theme A - Equity Policy 5,5,Protect affordable housing tenants through improved code enforcement policies.,en,"topic: Housing, Quality of Life",C2,A1a:A1c:A1d:A2d:A3a:A3b:E1b,Improve Code Enforcement Policies,"A rental property registration program to proactively address substandard housing conditions would help alleviate the current culture where residents are wary of contacting Code Enforcement to report violations for fear that they may lose the roof over their head.  Louisville, Covington, and Erlanger have all taken this proactive approach to this serious issue.

The goal of this approach is to identify problem properties and utilize random inspections to keep landlords from delaying maintenance or poorly managing their units.  Cities both large and small across the country use rental registration programs and their tangible successes are well documented.  As Lexington moves towards becoming a larger metropolitan city, it is incumbent upon the government to ensure all residents are afforded the opportunity to live in safe, code compliant homes.  A comprehensive, equitable housing policy must address existing housing as well as new construction.

There are additional benefits on the landlord/property owner side as well.  In preliminary meetings with housing stakeholders, developers with a proven track record of strong property management indicated that the most important factor in their decision to make a purchase in a given area was the upkeep and maintenance of that neighborhood by other landlords.  They felt it was impossible to overcome the inertia of neighborhood decline without other good faith actors.  A proactive approach to code enforcement, driven by random inspections, will ensure that it is possible to invest in all areas where a return can be achieved by making all neighborhoods more desirable.

Read about the successes of rental registration in Austin, TX: 
https://law.utexas.edu/wp-content/uploads/sites/11/2015/07/2013-07-ECDC-An-Analysis-of-Rental-Property-Registration-in-Austin.pdf","Work with Council to review tenant protections.
Work with Council to create a rental registration program.
",Off
Theme A - Equity Policy 6,6,Provide flexibility for senior housing through Accessory Dwelling Units.,en,"topic: Housing, Quality of Life",A1:A2:A3,A1a:A1b:A1c:A1d:A2a:A2b:A2d:A3a:A3b:E1b,Senior Housing though ADUs,"Accessory Dwelling Units (ADUs) provide significant opportunities for older residents to age in place.  They allow them to retain their properties through subsidizing their incomes with rental revenue, while they continue to inhabit the property.  When attempting to address the senior housing need in Lexington, it is important to provide a myriad of opportunities, allowing a variety of solutions.  ADUs will inevitably provide a small percentage of the needed units; but for many who take advantage of them, it could be the difference between staying in their homes, and having to sell them. 
Planning should continue to look for community partners to assist in implementing this policy, and the Senior Services Commission has already taken an active role in its development.  The goal is to create an Accessory Dwelling Unit manual to provide reassurance to existing neighborhoods about how the program would operate, as well as guidance to prospective builders.  This would ideally include proposed models that are both contextually designed and cost effective.  Streamlining the permit process and reducing the administrative cost in order to make ADUs an attractive housing option for homeowners should be important considerations.
",Partner with Senior Services Commission to develop and implement Accessory Dwelling Unit zoning options.,Off
Theme A - Equity Policy 7,7,Community facilities should be well integrated into their respective neighborhoods.,en,"topic: Greenspace, Health, Quality of Life, Community Facilities",A3:A4:B2:D1:D2,A1a:A2c:A3a:A3b:A4a:A4b:B2b:C2d:D1a:D1b:D2b:D2c:E1b,Integrated Community Facilities,"Education
School sites should be appropriately sized for the needs of the community and designed to be an integral part of the community, rather than sequestered and closed off.  Ensuring neighborhood access to these sites is important, so they can act as community-building entities.
 
Healthcare, social services
Neighborhood-level healthcare and social service options are important, especially for areas where there is a low level of automobile ownership.  While it is vitally important to preserve access and opportunity to these facilities in all areas, it is also critical that they be good neighbors to the neighborhoods they serve.  The city, service providers and neighborhoods should work together to ensure that those in need of services have adequate transportation to and from facilities, and that public safety in the respective areas be evaluated on an ongoing basis.

Greenspace, focal points etc.
Parks, greenspace, and neighborhood focal points should be available to all neighbors.  Steps should be taken to provide adequate access during their creation, and opportunities for retrofit access should be explored to address inadequate access to current sites.
",Inventory and map existing social services and healthcare facilities.,
Theme A - Equity Policy 8,8,Housing developments should implement Universal Design principles on a portion of their units.,en,"topic: Housing, Quality of Life",A1:A3:D2,A1a:A1b:A1c:A2d:A3b:C2d:E1b,Universal Design Principles,"In order to support aging in place and recognize the increasing senior housing need, Universal Design principles should be incorporated into neighborhood developments where possible. Seven principles were developed by a diverse group of professional designers to create environments that are easily accessible, understood, and used by as many people as possible.
Additionally, the creation of an age-friendly development plan should be explored in order to address inequities in both public and private facilities and to raise awareness about the opportunities to improve.  The city of Pittsburgh has developed a model program that Lexington should look to emulate.",Partner with the Senior Services Commission to develop an age-friendly plan as part of the AARP Age-Friendly Communities Initiative.,
Theme B - Protection Policy 1,1,Continue the Sanitary Sewer Capacity Assurance Program (CAP) and encourage the Stormwater Incentive Grant program to reduce impacts of development on water quality.,en,"topic: Health, Community Facilities",B1,E1b,Stormwater Incentive Grant & CAP,"LFUCG Division of Water Quality oversees the storm sewer system of over 800 miles of underground pipelines; 50,000 structures; and over 1,000 wet ponds and detention basins; the sanitary sewer system of over 1,400 miles of underground pipelines; and 28,000 manholes, with nearly 80 pumping stations conveying sewage throughout the Urban Service Area. There are two treatment plants capable of treating over 60 million gallons of sewage each day. Since entering into the consent decree with EPA in 2011, the division continues to monitor the water impact of new development, and has been incorporated into the development plan review process with a required sign-off. The Government’s challenge is to provide capacity when a proposed new development or redevelopment is considered to be in the best interest of the community. The Consent Decree also requires that a Remedial Measures Program is established for the Lexington-Fayette Urban County sanitary sewer system. This program will evaluate the sanitary sewer system to identify a cost-effective, efficient improvement plan to address recurring sanitary sewer overflows. Further control is recommended to notify and communicate with CAP capacity when a conditional use or change of use is proposed, as well as at the time of a preliminary zone change. The process should be documented in zoning compliance letters.
 
The Stormwater Quality Projects Incentive Grant Program provides financial assistance for projects that improve water quality, reduce stormwater runoff and educate citizens about stormwater and water quality issues in our community. There are three types of grants, including infrastructure, education and neighborhood. Since 2011, the Division of Water Quality has managed the grant awards totaling between $1.2 and $1.7 million each year. Application to the grant is encouraged and should be promoted through community outreach and the development process.

",Coordinate with the Division of Water Quality to prioritize sewer capacity projects that will facilitate areas of expected growth.,
